,bio,location,num_followers,num_following,num_repos,time_created,time_updated,user_id,user_name
0,,,4.0,3.0,5.0,2017-02-07 21:54:12,2019-03-25 21:44:10,25627414.0,MrCanJu
1,ai life，ai tech！,Hangzhou,0.0,14.0,15.0,2018-09-14 22:08:34,2019-03-30 11:29:05,43286703.0,peipei-pig
2,,,5.0,0.0,17.0,2015-12-14 22:14:51,2019-03-13 08:43:02,16298985.0,gzq0727
3,,,0.0,0.0,12.0,2015-12-23 22:53:57,2019-03-16 00:45:28,16421492.0,XuWisp
4,,,0.0,2.0,5.0,2017-12-01 22:52:20,2019-03-06 09:17:27,34178682.0,fiendwbc
5,,,0.0,0.0,3.0,2017-05-08 22:38:17,2019-03-27 23:26:19,28553459.0,Fy-L
6,,China Beijing,12.0,5.0,38.0,2013-09-02 20:46:52,2019-03-18 04:53:17,5368963.0,lizhongyuan
7,,Hangzhou Zhejiang China,29.0,32.0,30.0,2013-06-26 18:54:16,2019-04-21 04:42:53,4842281.0,zxjcarrot
8,,,0.0,0.0,2.0,2018-10-03 04:35:33,2019-04-02 20:09:34,43810129.0,keukauh
9,ECNUer,"Shanghai, China",8.0,5.0,5.0,2016-10-22 20:10:14,2019-03-28 06:37:15,23006115.0,helenHlz
10,,,1.0,6.0,10.0,2016-03-26 10:34:47,2019-03-28 06:39:43,18087969.0,HyoleePatrick
11,,,0.0,0.0,2.0,2016-03-24 04:51:27,2018-10-11 02:37:07,18048532.0,lvbell
12,,,5.0,24.0,10.0,2016-03-04 06:56:58,2019-04-21 18:39:08,17642679.0,Pziran
13,,,0.0,0.0,1.0,2019-03-10 04:54:39,2019-03-11 21:25:20,48405278.0,hu7777chenyi
14,,,2.0,0.0,14.0,2014-07-20 00:32:07,2019-02-02 22:11:03,8213705.0,njwander
15,a newbie (cai niao),china ,3.0,2.0,7.0,2017-02-28 04:45:38,2019-04-18 09:47:49,26084373.0,pp-angLi
16,,,0.0,1.0,2.0,2018-08-15 21:35:19,2019-03-17 20:46:25,42426555.0,daihhhhhhhhh
17,,,6.0,23.0,30.0,2017-09-04 05:57:22,2019-03-07 06:25:02,31619381.0,stwie2k
18,,"Shenzhen,China",0.0,2.0,12.0,2016-04-11 04:25:58,2019-04-03 22:10:52,18394324.0,Bruce-jun
19,Coding is my life!,,3.0,1.0,22.0,2016-09-25 08:24:04,2019-02-28 03:00:49,22428959.0,the-pig-of-jungle
20,,"Guangzhou,China",9.0,116.0,4.0,2015-03-13 23:23:44,2019-03-30 09:06:16,11470090.0,zoffyzhang
21,,,0.0,0.0,22.0,2015-10-20 04:27:50,2019-03-29 11:47:11,15210940.0,suyuanen
22,,china.shanghai,33.0,57.0,51.0,2013-08-01 09:09:10,2019-03-07 02:54:19,5138977.0,Luncher
23,,,0.0,0.0,2.0,2016-10-10 02:24:54,2019-03-27 23:26:41,22740041.0,Archangeleyes
24,,,0.0,1.0,0.0,2018-12-02 22:39:56,2019-02-03 04:31:31,45549545.0,lihuantao123
25,Ph.D. Candidate at the City University of New York.,New York City,155.0,285.0,83.0,2012-10-19 05:26:10,2019-04-16 14:05:26,2598169.0,ionvision
26,,,0.0,3.0,34.0,2013-04-02 21:15:36,2019-02-22 02:35:17,4043446.0,dextergithub
27,,,0.0,0.0,3.0,2015-07-19 06:07:27,2019-03-27 22:18:39,13403219.0,tangzhao132
28,,,3.0,0.0,37.0,2015-02-08 00:47:20,2019-04-17 20:18:51,10905068.0,gaoconggit
29,,"Shenzhen,China",3.0,3.0,11.0,2016-07-11 21:10:35,2019-03-15 04:35:26,20410548.0,gaosiGithub
30,iOS Android ReactNative,深圳,119.0,34.0,25.0,2013-05-09 06:47:16,2019-04-14 18:56:08,4386370.0,listenzz
31,,,0.0,0.0,0.0,2019-01-21 22:34:55,2019-03-27 23:22:48,46913351.0,nicky409
32,ClassFoo's FunctionBar,,2.0,3.0,4.0,2010-07-18 02:01:07,2019-03-27 23:26:37,335353.0,classfoo
33,乐观 自信 爱,,1.0,14.0,21.0,2014-01-23 09:44:02,2019-03-14 01:26:28,6482528.0,mangowong
34,,,2.0,4.0,14.0,2014-01-06 02:10:24,2019-03-27 23:26:40,6327728.0,zhuzhuzhumop
35,想成为大牛,"beijing,China",2.0,17.0,7.0,2014-11-13 01:35:35,2019-04-17 04:09:31,9713222.0,WillleePang
36,,,0.0,1.0,2.0,2018-01-08 08:41:43,2019-04-19 01:53:59,35226108.0,ricardowangjie
37,,,0.0,0.0,0.0,2019-03-27 23:14:58,2019-04-05 20:27:38,49013743.0,vcmcgrady
38,,,0.0,0.0,9.0,2016-11-22 21:33:10,2019-03-21 04:09:54,23690475.0,Jadentan
39,,,1.0,0.0,9.0,2016-08-31 19:45:37,2019-03-27 09:11:17,21374247.0,feida9041
40,,,0.0,0.0,11.0,2016-05-30 20:15:20,2019-04-21 02:32:28,19657992.0,hellojqk
41,,China,1.0,1.0,11.0,2016-04-19 23:15:12,2019-04-13 01:53:16,18566410.0,sugejie
42,,,0.0,0.0,1.0,2015-12-13 21:57:51,2019-03-27 23:26:37,16282879.0,zxingjian
43,,"Qingdao, Shandong, China",19.0,19.0,19.0,2012-05-23 03:28:57,2019-03-29 18:28:48,1768962.0,codejm
44,"Gopher.  I'm currently exploring Golang, Docker, and Kubernetes.
",,5.0,14.0,18.0,2013-10-30 07:58:42,2019-03-28 19:10:34,5813610.0,0x457
45,"the higher you stand, the farther you will see",,0.0,0.0,10.0,2016-09-25 10:17:23,2019-04-11 02:05:46,22430539.0,gangler
46,,,0.0,2.0,3.0,2018-03-11 12:12:29,2019-04-09 10:28:10,37272051.0,keepingzeal
47,前端新手,,0.0,0.0,1.0,2018-11-22 21:23:07,2019-03-27 23:26:56,45277185.0,jidaoxiaoshan
48,,,0.0,0.0,1.0,2018-06-04 20:25:24,2019-03-25 03:35:36,39933270.0,zaininHub
49,,/etc/shadow,70.0,128.0,33.0,2014-10-18 20:57:08,2019-04-18 09:35:03,9301116.0,fztfztfztfzt
50,,,1.0,1.0,4.0,2017-06-07 10:03:24,2019-03-25 09:17:40,29256822.0,Alone-Wong
51,,,0.0,0.0,12.0,2014-09-08 22:15:55,2019-01-31 02:50:01,8704167.0,philshi
52,,nanjing  china,0.0,0.0,4.0,2015-01-03 21:47:59,2019-03-27 23:27:07,10385938.0,zhuzhengDL
53,,,0.0,0.0,9.0,2016-09-30 01:53:09,2019-02-28 00:52:26,22538391.0,jaffreyen
54,,,0.0,0.0,1.0,2016-11-11 21:20:49,2019-03-27 23:27:09,23411382.0,zzjbook
55,,,0.0,1.0,0.0,2015-06-24 03:55:57,2018-10-10 22:59:27,13030620.0,youtianhong
56,,,7.0,14.0,16.0,2016-09-10 02:07:38,2019-03-26 02:07:07,22112946.0,morehao
57,,,1.0,2.0,1.0,2016-11-18 06:00:08,2019-03-12 07:08:58,23552932.0,NangGongZhiXiao
58,"""No worries，i am pro.""","Shenzhen,China",13.0,6.0,35.0,2011-05-24 21:53:05,2019-03-21 21:08:41,808983.0,tmoonlight
59,或缪，求真。,"SuZhou, China",5.0,26.0,9.0,2016-09-17 00:25:01,2019-03-21 02:07:37,22251729.0,Lcarusd
60,,,3.0,5.0,52.0,2013-02-26 00:58:58,2019-02-07 03:11:02,3701564.0,chiely
61,,,0.0,0.0,3.0,2018-09-01 20:10:29,2019-04-09 04:33:33,42901632.0,xrqking
62,,,2.0,17.0,5.0,2016-01-13 02:55:34,2019-03-29 19:17:17,16681035.0,empire-lfang
63,,,0.0,0.0,1.0,2015-12-26 22:11:24,2019-03-27 23:27:25,16448932.0,mildzc
64,,,0.0,0.0,5.0,2015-03-21 01:07:02,2019-03-11 02:29:17,11582292.0,kimihiro233
65,等待一个可以在葬礼上描述我一生的人.,china,3.0,1.0,5.0,2018-04-09 00:40:51,2019-04-11 11:06:26,38201975.0,5ibug
66,,,0.0,0.0,1.0,2017-12-07 05:13:16,2019-03-26 03:28:55,34337869.0,RainElohim
67,,,0.0,0.0,2.0,2018-09-02 21:45:16,2019-03-26 08:21:28,42922601.0,z772176993
68,,,15.0,3.0,41.0,2012-12-06 18:38:34,2019-03-24 17:31:22,2984710.0,jackmac92
69,,,0.0,0.0,7.0,2017-02-14 03:50:36,2019-04-06 08:43:56,25765224.0,zhaoshangtong
70,,,1.0,0.0,37.0,2016-03-16 11:39:28,2019-03-12 08:37:15,17884587.0,hanyitim
71,,,3.0,5.0,4.0,2016-09-13 02:49:56,2019-03-03 21:06:42,22167372.0,allenouyangke
72,情不知所终，一往而殆,,3.0,2.0,35.0,2017-07-19 20:37:07,2019-03-27 23:27:33,30305021.0,nlpdz
73,,,0.0,2.0,1.0,2019-03-27 21:43:41,2019-04-20 23:00:15,49011613.0,sam6666666
74,,"Perth, WA.",7.0,6.0,8.0,2014-11-24 01:53:17,2019-04-08 07:28:16,9926249.0,whycantidraw
75,,,2.0,3.0,6.0,2016-03-15 21:02:02,2019-04-10 00:20:52,17866233.0,moonmountain
76,,,1.0,8.0,8.0,2017-12-02 06:19:03,2019-04-14 04:13:56,34185763.0,Irelia7u
77,Go/BlockChain/Java/Spark,Hangzhou,10.0,36.0,26.0,2016-03-17 05:40:17,2019-04-01 23:54:39,17902244.0,SherLzp
